               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.028218,            0.036147,            0.020114,             0.82567,              0.9226,             0.91332,             0.35954,            0.020471,           0.0052855,           0.0022143,           0.0076679,           0.0076679,           0.0076679
                  36,            0.027513,            0.035521,            0.018317,             0.76995,             0.78397,             0.82313,             0.31061,            0.023148,           0.0044763,           0.0023084,            0.007543,            0.007543,            0.007543
                  37,            0.027541,            0.035204,            0.018177,              0.7403,             0.80624,             0.79676,             0.31202,             0.02301,           0.0046072,           0.0031884,            0.007416,            0.007416,            0.007416
                  38,            0.026977,            0.035957,            0.018236,             0.83691,             0.89244,             0.88631,             0.33347,            0.020253,           0.0051975,           0.0023655,           0.0072872,           0.0072872,           0.0072872
                  39,            0.026981,            0.035546,            0.017037,             0.91978,             0.95405,              0.9537,             0.40751,            0.019384,           0.0045806,           0.0019575,           0.0071566,           0.0071566,           0.0071566
                  40,            0.026534,              0.0349,            0.016885,             0.87055,             0.91167,             0.92307,             0.39066,            0.019306,           0.0047381,           0.0027463,           0.0070243,           0.0070243,           0.0070243
                  41,            0.027218,            0.035327,            0.016934,             0.74226,             0.84109,             0.82954,             0.34164,            0.020568,           0.0046826,           0.0039256,           0.0068906,           0.0068906,           0.0068906
                  42,            0.026134,            0.034814,            0.018452,             0.85255,             0.85277,             0.88441,             0.32788,            0.021514,           0.0045504,           0.0036533,           0.0067555,           0.0067555,           0.0067555
                  43,            0.026714,            0.034794,             0.01696,             0.85216,             0.83219,             0.91001,             0.37165,            0.021597,           0.0042761,           0.0056748,           0.0066191,           0.0066191,           0.0066191
                  44,            0.026446,            0.035152,            0.017158,             0.86876,             0.95877,             0.91569,             0.42262,            0.018565,           0.0047804,             0.00325,           0.0064816,           0.0064816,           0.0064816
                  45,            0.026462,            0.034813,            0.016829,             0.90921,             0.92754,              0.9472,             0.44097,            0.017994,           0.0044867,            0.002318,           0.0063432,           0.0063432,           0.0063432
                  46,            0.025938,            0.035449,            0.016657,              0.8959,             0.92768,             0.96758,             0.45002,            0.017871,           0.0044823,            0.002408,            0.006204,            0.006204,            0.006204
                  47,            0.025577,            0.035449,            0.017552,              0.9404,             0.96637,             0.97328,             0.47063,            0.017559,            0.004401,           0.0017925,            0.006064,            0.006064,            0.006064
                  48,            0.025917,              0.0337,            0.016381,              0.9095,              0.9606,             0.94301,             0.43459,            0.019289,           0.0044246,           0.0025364,           0.0059235,           0.0059235,           0.0059235
                  49,            0.025862,            0.034848,            0.015408,             0.90203,             0.85794,             0.91852,             0.39007,            0.018681,           0.0046623,           0.0027178,           0.0057826,           0.0057826,           0.0057826
                  50,            0.025338,            0.033713,            0.016349,             0.87434,             0.92661,             0.91874,             0.39982,            0.018752,           0.0046868,           0.0021588,           0.0056413,           0.0056413,           0.0056413
                  51,            0.025148,            0.034181,            0.015385,             0.89494,             0.94324,             0.95087,             0.47382,            0.018143,            0.004509,           0.0021179,              0.0055,              0.0055,              0.0055
                  52,             0.02434,            0.034338,            0.016089,              0.8484,             0.93291,             0.91473,             0.39828,            0.018394,           0.0048308,           0.0023568,           0.0053587,           0.0053587,           0.0053587
                  53,            0.024442,            0.033695,            0.015079,              0.9034,             0.92472,             0.94421,             0.38074,            0.020008,           0.0044571,           0.0021293,           0.0052174,           0.0052174,           0.0052174
                  54,            0.025104,            0.033929,            0.015632,             0.87571,             0.94349,             0.92849,             0.40333,            0.019333,           0.0044465,           0.0017041,           0.0050765,           0.0050765,           0.0050765
                  55,             0.02443,             0.03308,            0.015029,             0.89339,             0.91156,             0.93626,             0.43647,            0.018366,           0.0045449,           0.0025549,            0.004936,            0.004936,            0.004936
                  56,            0.023953,            0.033809,            0.015931,             0.88804,             0.93571,             0.93549,             0.43677,            0.018525,           0.0043442,           0.0020372,            0.004796,            0.004796,            0.004796
                  57,            0.024318,            0.033746,            0.015889,             0.92916,             0.95136,              0.9589,             0.48319,             0.01749,           0.0041617,           0.0015837,           0.0046568,           0.0046568,           0.0046568
                  58,            0.024447,             0.03231,            0.015214,              0.9123,             0.92673,             0.92987,             0.45834,            0.018454,           0.0041848,           0.0016809,           0.0045184,           0.0045184,           0.0045184
                  59,            0.023611,            0.033074,            0.014838,             0.73294,             0.69974,              0.7491,             0.33805,            0.022209,            0.004386,           0.0022632,           0.0043809,           0.0043809,           0.0043809
                  60,            0.023833,            0.033641,            0.015028,             0.87964,             0.91785,             0.93961,             0.43165,            0.018723,           0.0043075,           0.0036513,           0.0042445,           0.0042445,           0.0042445
                  61,            0.024139,            0.033751,            0.014623,             0.91082,             0.96245,             0.96634,              0.4905,            0.016931,           0.0041173,           0.0031641,           0.0041094,           0.0041094,           0.0041094
                  62,            0.024174,            0.032448,            0.014479,             0.91154,             0.94605,             0.95821,             0.48704,             0.01727,            0.004155,           0.0019755,           0.0039757,           0.0039757,           0.0039757
                  63,            0.023463,            0.032432,            0.014474,             0.89269,              0.9178,             0.92157,              0.4067,            0.018821,           0.0042881,           0.0046293,           0.0038434,           0.0038434,           0.0038434
                  64,            0.023253,            0.033403,            0.014517,             0.94825,             0.96871,             0.96407,             0.40417,            0.019779,           0.0047761,           0.0011041,           0.0037128,           0.0037128,           0.0037128
                  65,            0.023074,             0.03286,            0.013188,             0.91374,             0.93542,             0.93335,             0.40546,            0.020947,           0.0041632,           0.0010519,            0.003584,            0.003584,            0.003584
                  66,            0.023289,            0.031663,            0.013255,             0.88246,             0.89686,             0.90314,              0.3851,            0.021243,           0.0041966,           0.0016391,            0.003457,            0.003457,            0.003457
                  67,            0.022952,            0.032295,            0.013148,             0.89491,             0.84892,             0.91957,             0.41026,            0.018938,           0.0041205,           0.0026764,           0.0033321,           0.0033321,           0.0033321
                  68,            0.022644,            0.032226,            0.013038,             0.83184,             0.91693,             0.91542,              0.3886,            0.020256,           0.0042224,           0.0024946,           0.0032093,           0.0032093,           0.0032093
                  69,            0.023334,            0.032301,            0.013832,             0.87992,             0.92649,             0.94611,             0.44336,            0.018481,           0.0043411,           0.0011881,           0.0030888,           0.0030888,           0.0030888
                  70,            0.022356,            0.031823,            0.013085,             0.78515,             0.79738,             0.82293,             0.37163,            0.020852,            0.004156,           0.0017944,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022199,             0.03179,            0.013022,             0.88906,             0.92482,             0.93795,             0.43166,            0.019298,           0.0041451,           0.0012363,            0.002855,            0.002855,            0.002855
                  72,             0.02246,             0.03081,            0.012921,             0.92363,             0.93553,             0.96974,             0.46125,            0.018108,           0.0043408,           0.0017005,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022405,            0.031689,            0.012654,             0.90769,             0.94622,              0.9543,             0.45275,            0.017464,           0.0044996,           0.0015294,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022152,            0.032354,            0.012211,             0.89671,             0.92262,             0.93111,               0.426,            0.018512,           0.0042187,           0.0012179,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022214,            0.031571,            0.012268,             0.93653,             0.93173,             0.94417,             0.45118,            0.017994,           0.0041574,           0.0013319,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022185,            0.031017,            0.012781,              0.8976,             0.93524,             0.94034,             0.46331,             0.01742,           0.0042659,           0.0019518,            0.002318,            0.002318,            0.002318
                  77,            0.022004,            0.031188,            0.011535,             0.89331,             0.94311,             0.93114,             0.45582,            0.017083,           0.0041871,           0.0011557,           0.0022196,           0.0022196,           0.0022196
                  78,            0.021343,            0.030658,            0.012103,             0.85109,             0.84872,             0.85509,             0.38148,            0.020204,           0.0041176,          0.00084028,           0.0021245,           0.0021245,           0.0021245
                  79,            0.021663,             0.03133,            0.012444,              0.9106,              0.9143,             0.93634,             0.45203,            0.017413,           0.0041161,           0.0029573,           0.0020327,           0.0020327,           0.0020327
                  80,            0.021894,             0.03155,            0.011687,             0.92181,             0.95901,             0.95834,             0.45234,            0.018493,           0.0042086,           0.0011634,           0.0019443,           0.0019443,           0.0019443
                  81,             0.02099,             0.03035,            0.010944,             0.91064,              0.8882,             0.92168,             0.38987,            0.020022,           0.0041727,            0.001496,           0.0018594,           0.0018594,           0.0018594
